id,symbol,buyflag,sellflag,open,high,low,close,last,tottrdqty,tottrdval,timestamp,days,totaltrades,exchangename,priceTrend,sma_5,sma_13,sma_26,sma_50,sma_200,sma_5c13,sma_5c26,sma_50c200,crossDate5c13,crossDate5c26,crossDate50c200,macd,pp,rsiTransitDate,rsi,signalval,cci,cciTransitStatus,cciTransitDate,histogram,sTransitStatus,zTransitStatus,sTransitDate,zTransitDate,stoch_14k,stoch_3d,symid,exchangeid,avgD50Price,avgD50vol,avgDPrice,avgDvol,avgMPrice,avgMvol,avgWPrice,avgWvol,d50pmax,d50pmin,d50vmax,d50vmin,dpmax,dpmin,dvmax,dvmin,wpmax,wpmin,wvmax,wvmin,mpmax,mpmin,mvmax,mvmin,preClose,preVolume,transitdate,transitFlag,updays5,updays20,upperc5,upperc20
1822911,ORBK,2,0,53.78,56.12,53.4,55.83,0,769700,0,1/18/2018,3,0,nasdaq,,52.6,51.65,51.13,51.78,0,1,1,1,1/17/2018,1/1/2001,1/1/2001,0.67,"{PP"": 55.12 ""R1"": 56.83 ""R2"": 57.84 ""R3"": 59.55 ""S3"": 51.39 ""S2"": 52.4 ""S1"": 54.11}""",1/1/2001,69.87,0,347.74,1,1/16/2018,0,1,1,1/17/2018,1/1/2001,56.64,51.05,17535,4,51.78,371670,53.8,575667,51.33,281395,51.99,344210,56.28,48.68,1282100,278600,55.83,51.47,769700,227700,55.83,49.73,769700,117300,55.83,49.73,769700,117300,54.1,729600,0000-00-00,1,4,11,10.5764,8.21865
1841711,ESIO,2,0,26.3,27.18,25.43,26.44,0,2035400,0,1/19/2018,4,0,nasdaq,,22.98,21.73,21.49,22.55,0,1,1,1,1/18/2018,1/18/2018,1/1/2001,0.54,"{PP"": 26.35 ""R1"": 27.27 ""R2"": 28.1 ""R3"": 29.02 ""S3"": 23.77 ""S2"": 24.6 ""S1"": 25.52}""",1/1/2001,71.18,0,308.23,1,1/17/2018,0,1,1,1/18/2018,1/18/2018,48.91,44.57,16343,4,22.55,1266134,24.92,3474167,21.72,1199680,21.66,1733680,26.99,19.49,7030500,564600,26.44,22.01,7030500,1356600,26.44,20.05,7030500,664100,26.44,20.05,7030500,371000,26.3,7030500,0000-00-00,1,4,9,31.8703,18.194
1844034,ORBK,2,0,55.8,56.77,55.36,56.31,0,427400,0,1/19/2018,4,0,nasdaq,,53.76,52.11,51.38,51.92,0,1,1,1,1/17/2018,1/1/2001,1/1/2001,0.96,"{PP"": 56.15 ""R1"": 56.93 ""R2"": 57.56 ""R3"": 58.34 ""S3"": 54.11 ""S2"": 54.74 ""S1"": 55.52}""",1/1/2001,71.13,0,330.25,1,1/16/2018,0,1,1,1/17/2018,1/1/2001,61.96,56.4,17535,4,51.92,364964,55.41,642233,51.56,294005,52.46,367000,56.31,48.68,1282100,278600,56.31,54.1,769700,427400,56.31,49.73,769700,117300,56.31,49.73,769700,117300,55.83,769700,0000-00-00,1,4,12,10.2173,9.68056
1856049,ARRY,2,0,15.6,16.36,15.25,15.5,0,7055200,0,1/23/2018,1,0,nasdaq,,14.05,13.69,12.77,11.96,0,1,1,1,1/22/2018,1/1/2001,1/1/2001,0.75,"{PP"": 15.7 ""R1"": 16.16 ""R2"": 16.81 ""R3"": 17.27 ""S3"": 13.94 ""S2"": 14.59 ""S1"": 15.05}""",1/1/2001,70.72,0,186.83,1,1/1/2001,0,1,1,1/22/2018,1/1/2001,57.39,57.79,15587,4,11.96,3544062,14.73,8975267,13.3,4526930,13.84,5244520,15.56,10.44,17645800,1694500,15.56,13.14,17645800,2224800,15.56,12.88,17645800,2224800,15.56,11.2,17645800,1733900,15.56,17645800,0000-00-00,1,2,11,17.5133,38.3929
1856185,BLUE,2,0,194.65,200.8,188.55,200.2,0,1588900,0,1/23/2018,1,0,nasdaq,,185.63,177.1,179.68,172.84,0,1,1,1,1/22/2018,1/23/2018,1/1/2001,3.64,"{PP"": 196.52 ""R1"": 204.48 ""R2"": 208.77 ""R3"": 216.73 ""S3"": 179.98 ""S2"": 184.27 ""S1"": 192.23}""",1/1/2001,66.46,0,164.18,1,1/18/2018,0,1,1,1/22/2018,1/18/2018,53.95,50.61,15731,4,172.84,948388,190.27,1620500,178.39,915330,177.53,1219330,201.8,146.7,5129300,363700,200.2,175.95,2533000,739600,200.2,163.35,2533000,424500,200.2,163.35,2533000,380000,194.65,2533000,0000-00-00,1,3,7,14.2368,8.01187
1857228,ICPT,2,0,63.3,65.11,60.3,63.58,0,1424900,0,1/23/2018,1,0,nasdaq,,57.91,55.87,58.88,59.81,0,1,2,1,1/22/2018,1/1/2001,1/1/2001,-0.65,"{PP"": 63.0 ""R1"": 65.69 ""R2"": 67.81 ""R3"": 70.5 ""S3"": 56.07 ""S2"": 58.19 ""S1"": 60.88}""",1/1/2001,62.48,0,74.45,1,1/22/2018,0,1,2,1/22/2018,1/1/2001,38.38,32.87,16828,4,59.81,745230,61.21,1462300,57.84,903960,56.01,907760,64.85,52.72,1911500,490200,63.58,57.72,1527900,1424900,63.58,52.72,1527900,516700,64.85,52.72,1911500,420700,62.34,1434100,0000-00-00,1,4,9,20.5994,1.82575
1858448,NUAN,2,0,18.46,18.75,18.185,18.36,0,6213900,0,1/23/2018,1,0,nasdaq,,17.55,17.3,16.92,16.05,0,1,1,1,1/22/2018,1/1/2001,1/1/2001,0.47,"{PP"": 18.43 ""R1"": 18.68 ""R2"": 19.0 ""R3"": 19.24 ""S3"": 17.55 ""S2"": 17.87 ""S1"": 18.11}""",1/1/2001,70.17,0,229.87,1,1/1/2001,0,1,1,1/22/2018,1/1/2001,59.26,54.85,17437,4,16.05,3978322,18.02,5818667,17.01,2875760,17.38,3644050,18.68,14.19,24587300,1451100,18.68,17.01,8892800,2349300,18.68,16.71,8892800,1820300,18.68,16.35,8892800,867300,18.68,8892800,0000-00-00,1,2,7,8.19093,11.138
1862030,ACAD,2,0,30.75,31.76,29.91,30.57,0,3601000,0,1/24/2018,2,0,nasdaq,,28.9,28.46,28.97,28.83,0,1,2,1,1/23/2018,1/1/2001,1/1/2001,-0.1,"{PP"": 30.75 ""R1"": 31.58 ""R2"": 32.6 ""R3"": 33.43 ""S3"": 27.88 ""S2"": 28.9 ""S1"": 29.73}""",1/1/2001,57.93,0,115.14,1,1/23/2018,0,1,2,1/23/2018,1/1/2001,40.92,39.63,15384,4,28.83,1679720,29.94,3690700,29.08,2107365,28.58,2351110,31.18,26.84,4035800,581200,30.57,28.93,4035800,3435300,30.57,26.92,4035800,1140500,31.18,26.92,4035800,726500,30.32,4035800,0000-00-00,1,3,11,10.0432,4.4771
1862888,EDIT,2,0,35,36.35,33,33.88,0,2138300,0,1/24/2018,2,0,nasdaq,,32.71,31.92,30.12,28.08,0,1,1,1,1/23/2018,1/1/2001,1/1/2001,1.55,"{PP"": 34.41 ""R1"": 35.82 ""R2"": 37.76 ""R3"": 39.17 ""S3"": 29.12 ""S2"": 31.06 ""S1"": 32.47}""",1/1/2001,61.42,0,111.09,1,1/1/2001,0,1,1,1/23/2018,1/1/2001,54.42,55.33,16270,4,28.08,1370502,34.43,2626600,31.62,1728595,31.99,1601030,34.8,22.68,6031200,568600,34.8,33.88,3218600,2138300,34.8,29.84,3218600,817400,34.8,28.43,6031200,817400,34.8,2522900,0000-00-00,1,3,12,13.5389,19.1699
1863404,ICPT,2,0,63.58,64.59,61.05,61.93,0,837700,0,1/24/2018,2,0,nasdaq,,59.75,56.28,58.79,59.75,0,1,1,1,1/22/2018,1/24/2018,1/1/2001,-0.26,"{PP"": 62.52 ""R1"": 64.0 ""R2"": 66.06 ""R3"": 67.54 ""S3"": 56.92 ""S2"": 58.98 ""S1"": 60.46}""",1/1/2001,57.85,0,62.34,1,1/22/2018,0,1,2,1/22/2018,1/1/2001,43.26,38.01,16828,4,59.75,750792,62.62,1232233,57.81,924810,56.86,932090,64.85,52.72,1911500,490200,63.58,61.93,1434100,837700,63.58,52.72,1527900,516700,64.85,52.72,1911500,468700,63.58,1424900,0000-00-00,1,3,8,16.4317,-1.35393
1863986,NUAN,2,0,18.4,18.545,18.065,18.11,0,2538800,0,1/24/2018,2,0,nasdaq,,17.77,17.39,16.98,16.11,0,1,1,1,1/22/2018,1/1/2001,1/1/2001,0.49,"{PP"": 18.24 ""R1"": 18.41 ""R2"": 18.72 ""R3"": 18.89 ""S3"": 17.45 ""S2"": 17.76 ""S1"": 17.93}""",1/1/2001,65.68,0,190.9,1,1/1/2001,0,1,1,1/22/2018,1/1/2001,57.62,57.37,17437,4,16.11,4000076,18.38,5881833,17.09,2915755,17.45,3350120,18.68,14.19,24587300,1686200,18.68,18.11,8892800,2538800,18.68,16.71,8892800,1820300,18.68,16.35,8892800,867300,18.36,6213900,0000-00-00,1,2,6,8.37822,9.42598
1864333,RARE,2,0,57.52,60.895,55,58.52,0,3626900,0,1/24/2018,2,0,nasdaq,,53.29,50.26,48.65,48.29,0,1,1,1,1/23/2018,1/1/2001,1/1/2001,1.77,"{PP"": 58.14 ""R1"": 61.28 ""R2"": 64.03 ""R3"": 67.17 ""S3"": 49.49 ""S2"": 52.24 ""S1"": 55.38}""",1/1/2001,72.16,0,319.12,1,1/19/2018,0,1,1,1/22/2018,1/19/2018,52.95,51.41,17806,4,48.29,549970,56.68,2096933,49.51,643875,50.51,931950,58.52,43.54,3626900,223100,58.52,53.39,3626900,1025100,58.52,45.81,3626900,343200,58.52,45.81,3626900,198400,58.14,1638800,0000-00-00,1,4,10,23.8519,21.8405
1873255,ACAD,2,0,32.2,32.99,31.61,31.74,0,1849100,0,1/29/2018,0,0,nasdaq,,29.7,28.69,29.08,28.89,0,1,1,1,1/23/2018,1/29/2018,1/1/2001,0.13,"{PP"": 32.11 ""R1"": 32.62 ""R2"": 33.49 ""R3"": 34.0 ""S3"": 29.86 ""S2"": 30.73 ""S1"": 31.24}""",1/1/2001,62.57,0,195.2,1,1/23/2018,0,1,1,1/23/2018,1/29/2018,46.36,42.41,15384,4,28.89,1680584,30.88,3161967,29.21,2133425,28.89,2381380,31.74,26.84,4035800,581200,31.74,30.32,4035800,1849100,31.74,26.92,4035800,1140500,31.74,26.92,4035800,726500,30.57,3601000,0000-00-00,1,4,11,17.9049,4.20223
1873676,CARA,2,0,15.17,15.87,15.15,15.49,0,1019300,0,1/29/2018,0,0,nasdaq,,14.33,13.25,12.95,12.73,0,1,1,1,1/23/2018,1/22/2018,1/1/2001,0.52,"{PP"": 15.5 ""R1"": 15.86 ""R2"": 16.22 ""R3"": 16.58 ""S3"": 14.42 ""S2"": 14.78 ""S1"": 15.14}""",1/1/2001,69.14,0,353.45,1,1/19/2018,0,1,1,1/22/2018,1/19/2018,49,49.12,15822,4,12.73,1002654,15.1,3173400,13.08,1281995,13.43,1550930,16.08,12.04,7372700,539700,16.08,13.72,7372700,1019300,16.08,12.32,7372700,457900,16.08,12.24,7372700,457900,16.08,7372700,0000-00-00,1,3,11,19.1538,23.722
1874887,FRGI,2,0,19.95,20.125,19.7,19.95,0,174100,0,1/29/2018,0,0,nasdaq,,19.77,19.49,19.36,18.87,0,1,1,1,1/23/2018,1/22/2018,1/1/2001,0.24,"{PP"": 19.93 ""R1"": 20.15 ""R2"": 20.35 ""R3"": 20.58 ""S3"": 19.3 ""S2"": 19.5 ""S1"": 19.73}""",1/1/2001,61.85,0,159.28,1,1/19/2018,0,1,1,1/24/2018,1/1/2001,64.99,65.25,16519,4,18.88,230864,19.88,235533,19.4,192105,19.54,196460,20.1,16.75,516000,158000,20,19.7,374900,157600,20,19.1,374900,133600,20,18.85,398500,115500,20,374900,0000-00-00,1,2,9,1.52672,3.36788
1875280,HCSG,2,0,56.01,56.17,55.58,55.59,0,516200,0,1/29/2018,0,0,nasdaq,,53.41,52.83,52.91,51.9,0,1,1,1,1/22/2018,1/29/2018,1/1/2001,0.41,"{PP"": 55.78 ""R1"": 55.98 ""R2"": 56.37 ""R3"": 56.57 ""S3"": 54.8 ""S2"": 55.19 ""S1"": 55.39}""",1/1/2001,67.75,0,266.33,1,1/22/2018,0,1,1,1/24/2018,1/1/2001,60.52,55.94,16731,4,51.9,466630,54,496100,52.67,404705,52.87,421490,55.59,49.77,1208700,365700,55.59,52.76,738500,233600,55.59,51.92,738500,233600,55.59,51.59,740300,188600,53.65,738500,0000-00-00,1,4,12,6.10804,5.30403
1876259,MDCO,2,0,33.57,34.73,33.2,34.7,0,2039900,0,1/29/2018,0,0,nasdaq,,30.22,27.88,27.57,28.5,0,1,1,1,1/24/2018,1/24/2018,1/1/2001,0.74,"{PP"": 34.21 ""R1"": 35.22 ""R2"": 35.74 ""R3"": 36.75 ""S3"": 32.16 ""S2"": 32.68 ""S1"": 33.69}""",1/1/2001,73.31,0,409.5,1,1/22/2018,0,1,1,1/22/2018,1/24/2018,53.32,50.43,17203,4,28.5,1388460,32.49,3962067,27.8,1619045,28.22,2387750,34.7,24.83,5705300,640700,34.7,30.47,5705300,2039900,34.7,24.83,5705300,750600,34.7,24.83,5705300,411400,32.31,5705300,0000-00-00,1,4,9,39.7503,23.8401
1876445,MTCH,2,0,34.7,35.28,34.1,35.15,0,1173300,0,1/29/2018,0,0,nasdaq,,33.94,32.73,32.08,30.68,0,1,1,1,1/23/2018,1/1/2001,1/1/2001,1.01,"{PP"": 34.84 ""R1"": 35.59 ""R2"": 36.02 ""R3"": 36.77 ""S3"": 33.23 ""S2"": 33.66 ""S1"": 34.41}""",1/1/2001,69.74,0,199.94,1,1/1/2001,0,1,1,1/22/2018,1/1/2001,61.43,59.76,17317,4,30.68,1385066,34.42,1533133,32.39,1270350,32.92,1320230,35.15,28.22,3004900,1009200,35.15,33.53,2082100,1173300,35.15,31.4,2082100,714100,35.15,31.31,2403400,671200,33.53,2082100,0000-00-00,1,3,11,7.82209,10.9533
1876522,NBIX,2,0,89.11,91.82,89.11,90.67,0,1052900,0,1/29/2018,0,0,nasdaq,,86.63,81.63,77.97,75.02,0,1,1,1,1/23/2018,1/1/2001,1/1/2001,3.82,"{PP"": 90.53 ""R1"": 91.96 ""R2"": 93.24 ""R3"": 94.67 ""S3"": 86.54 ""S2"": 87.82 ""S1"": 89.25}""",1/1/2001,72.61,0,194.28,1,1/1/2001,0,1,1,1/22/2018,1/1/2001,58.62,59,17354,4,75.02,907068,89.09,1398867,80.11,1051995,82.4,1142930,90.67,68.19,2268200,529600,90.67,87.87,1833900,1052900,90.67,75.88,1833900,746700,90.67,71.73,1833900,300300,88.73,1833900,0000-00-00,1,4,14,12.3823,26.4046
1877486,RARE,2,0,56.83,59.35,56.83,57.06,0,472700,0,1/29/2018,0,0,nasdaq,,55.25,50.73,49.16,48.5,0,1,1,1,1/23/2018,1/1/2001,1/1/2001,2.08,"{PP"": 57.75 ""R1"": 58.66 ""R2"": 60.27 ""R3"": 61.18 ""S3"": 53.62 ""S2"": 55.23 ""S1"": 56.14}""",1/1/2001,67.21,0,253.51,1,1/19/2018,0,1,1,1/22/2018,1/19/2018,52.76,53.18,17806,4,48.5,552900,57.91,1912800,49.96,649765,51.31,944690,58.52,43.54,3626900,223100,58.52,57.06,3626900,472700,58.52,45.81,3626900,343200,58.52,45.81,3626900,198400,58.52,3626900,0000-00-00,1,3,9,16.07,18.1122
1878247,STML,2,0,16.55,17.05,16.11,16.7,0,300600,0,1/29/2018,0,0,nasdaq,,14.78,14.14,14.38,14.54,0,1,1,1,1/24/2018,1/29/2018,1/1/2001,0.15,"{PP"": 16.62 ""R1"": 17.13 ""R2"": 17.56 ""R3"": 18.07 ""S3"": 15.25 ""S2"": 15.68 ""S1"": 16.19}""",1/1/2001,69.66,0,208.18,1,1/24/2018,0,1,1,1/24/2018,1/29/2018,43.6,43.74,18152,4,14.54,265518,15.37,1135100,14.48,340565,14.21,457260,16.7,13.4,2492200,139100,16.7,14.15,2492200,300600,16.7,13.4,2492200,100500,16.7,13.4,2492200,100500,15.25,2492200,0000-00-00,1,3,10,23.2472,18.8612
1887617,PRAA,2,0,35.75,36.3,35.555,36.05,0,284900,0,1/30/2018,1,0,nasdaq,,35.5,35.27,34.54,34.56,0,1,1,1,1/29/2018,1/1/2001,1/1/2001,0.44,"{PP"": 35.97 ""R1"": 36.38 ""R2"": 36.71 ""R3"": 37.13 ""S3"": 34.89 ""S2"": 35.22 ""S1"": 35.64}""",1/1/2001,61.69,0,117.65,1,1/1/2001,0,1,1,1/29/2018,1/1/2001,61.59,62.25,17701,4,34.56,326090,35.67,327700,34.78,284920,35.21,279160,36.2,33.2,902600,209900,36.2,34.75,427400,270800,36.2,34.45,427400,221200,36.2,33.2,427400,176300,36.2,427400,0000-00-00,1,2,10,2.70655,8.25826
1888493,ABEO,2,0,15.5,15.66,15.05,15.25,0,996300,0,1/31/2018,2,0,nasdaq,"[16.1, 15.85, 17.2, 17.3, 16.8, 15.25, 16.1, 16.0, 15.85, 15.7, 14.85, 15.25, 14.55, 14.6, 14.85, 15.4, 15.4, 16.3, 15.3, 15.25]",15.53,15.33,15.67,15.84,0,1,2,1,1/30/2018,1/1/2001,1/1/2001,-0.17,"{PP"": 15.32 ""R1"": 15.59 ""R2"": 15.93 ""R3"": 16.2 ""S3"": 14.37 ""S2"": 14.71 ""S1"": 14.98}""",1/1/2001,47.11,0,-54.05,2,1/30/2018,0,1,2,1/29/2018,1/1/2001,32.67,33.11,15375,4,15.84,778512,15.62,1565767,15.69,748750,15.17,953470,17.35,14.55,4610800,400400,16.3,15.25,2291600,996300,16.3,14.55,2291600,422100,17.3,14.55,2291600,364100,0,0,0000-00-00,2,1,8,-0.974026,-5.2795
1890085,KTOS,2,0,11.94,11.98,11.15,11.41,0,4803100,0,1/31/2018,2,0,nasdaq,"[10.63, 10.59, 10.96, 10.95, 11.42, 11.71, 11.29, 11.2, 11.37, 11.33, 10.99, 11.24, 11.24, 11.3, 10.96, 11.09, 11.01, 11.53, 12.0, 11.41]",11.41,11.28,11.14,10.75,0,1,1,1,1/30/2018,1/1/2001,1/1/2001,0.16,"{PP"": 11.51 ""R1"": 11.88 ""R2"": 12.34 ""R3"": 12.71 ""S3"": 10.22 ""S2"": 10.68 ""S1"": 11.05}""",1/1/2001,54.05,0,113.5,1,1/1/2001,0,1,1,1/30/2018,1/1/2001,49.03,50.28,17045,4,10.75,1658046,11.65,3442700,11.21,1816440,11.28,2163150,12,9.97,5468400,1328700,12,11.41,4803100,1325200,12,10.96,4803100,1113100,12,10.59,4803100,646100,0,0,0000-00-00,1,2,9,2.88548,7.33772
1907223,KTOS,2,0,11.35,11.59,11.32,11.53,0,1389700,0,2/1/2018,3,0,nasdaq,"[10.59, 10.96, 10.95, 11.42, 11.71, 11.29, 11.2, 11.37, 11.33, 10.99, 11.24, 11.24, 11.3, 10.96, 11.09, 11.01, 11.53, 12.0, 11.41, 11.53]",11.5,11.31,11.16,10.78,0,1,1,1,1/30/2018,1/1/2001,1/1/2001,0.16,"{PP"": 11.48 ""R1"": 11.64 ""R2"": 11.75 ""R3"": 11.91 ""S3"": 11.1 ""S2"": 11.21 ""S1"": 11.37}""",1/1/2001,55.76,0,99.27,1,1/1/2001,0,1,1,1/30/2018,1/1/2001,49.74,49.93,17045,4,10.78,1648758,11.65,3464200,11.26,1853620,11.33,2177250,12,9.97,5468400,1328700,12,11.41,4803100,1389700,12,10.96,4803100,1113100,12,10.59,4803100,766500,11.41,4803100,0000-00-00,1,3,10,4.72298,8.8763
1909225,SLGN,2,0,29.86,30.735,28.99,29.8,0,846500,0,2/1/2018,3,0,nasdaq,,29.27,29.02,29.2,28.98,0,1,1,1,1/31/2018,2/1/2018,1/1/2001,0.06,"{PP"": 29.84 ""R1"": 30.69 ""R2"": 31.59 ""R3"": 32.44 ""S3"": 27.2 ""S2"": 28.1 ""S1"": 28.95}""",1/1/2001,59.1,0,119.46,1,1/31/2018,0,1,1,1/31/2018,2/1/2018,36.52,38.37,18029,4,28.98,442918,29.63,1017933,29.21,558120,28.88,695260,29.89,28.24,1434900,174900,29.89,29.2,1434900,772400,29.89,28.27,1434900,292800,29.89,28.27,1434900,226700,29.89,1434900,0000-00-00,1,3,8,4.52473,1.39503
1909431,SRCL,2,0,75.31,75.58,73.65,74.25,0,1035400,0,2/1/2018,3,0,nasdaq,,73.15,72.18,70.54,67.95,0,1,1,1,1/29/2018,1/1/2001,1/1/2001,1.48,"{PP"": 74.49 ""R1"": 75.34 ""R2"": 76.42 ""R3"": 77.27 ""S3"": 71.48 ""S2"": 72.56 ""S1"": 73.41}""",1/1/2001,65.73,0,157.41,1,1/1/2001,0,1,1,1/30/2018,1/1/2001,68.24,67.76,18115,4,67.95,767284,74.02,1073800,71.23,763045,72.3,877890,75.36,62.5,1424300,512500,75.36,72.46,1424300,761700,75.36,70.56,1424300,634200,75.36,67.63,1424300,444800,75.36,1424300,0000-00-00,1,2,11,5.03607,9.20724
1912690,EZPW,2,0,13.6,13.75,12.7,13,0,1023600,0,2/2/2018,4,0,nasdaq,"[12.1, 12.2, 12.05, 11.9, 12.0, 11.95, 12.1, 12.05, 12.1, 12.3, 11.85, 12.1, 11.75, 11.85, 11.85, 11.8, 11.8, 11.8, 13.5, 13.0]",12.38,12.13,12.13,12.05,0,1,1,1,2/1/2018,2/1/2018,1/1/2001,0.16,"{PP"": 13.15 ""R1"": 13.6 ""R2"": 14.2 ""R3"": 14.65 ""S3"": 11.5 ""S2"": 12.1 ""S1"": 12.55}""",1/1/2001,63.38,0,331.34,1,2/1/2018,0,1,1,2/1/2018,2/1/2018,45.68,42.33,16383,4,12.05,711470,12.77,2624433,12.1,898515,12.13,1079020,13.5,11,6390500,762500,13.5,11.8,6390500,459200,13.5,11.75,6390500,229900,13.5,11.75,6390500,229900,13.5,6390500,0000-00-00,1,1,8,10.1695,7.43802
1914317,MEOH,2,0,62.55,62.8,59.75,59.85,0,881200,0,2/2/2018,4,0,nasdaq,"[62.75, 64.05, 63.75, 62.4, 61.3, 60.8, 60.8, 61.25, 58.85, 58.8, 58.3, 59.25, 59.45, 60.05, 60.65, 62.0, 62.3, 62.95, 62.95, 59.85]",62.01,60.51,60.92,57.53,0,1,1,1,1/30/2018,1/30/2018,1/1/2001,0.97,"{PP"": 60.8 ""R1"": 61.85 ""R2"": 63.85 ""R3"": 64.9 ""S3"": 55.75 ""S2"": 57.75 ""S1"": 58.8}""",1/1/2001,49.25,0,16.42,1,1/19/2018,0,2,1,2/2/2018,1/1/2001,49.6,48.47,17219,4,57.53,603670,61.92,1086233,61.12,761760,60.77,811660,64.05,50.1,1679700,217900,62.95,59.85,1679700,697800,62.95,58.3,1679700,443100,64.05,58.3,1679700,443100,62.95,1679700,2/2/2018,4,2,9,-3.46774,-4.62151
1922640,ATHN,2,0,142.22,145.05,139.79,141.3,0,1228500,0,2/5/2018,0,0,nasdaq,"[135.37, 135.1, 135.77, 136.49, 136.06, 132.65, 129.47, 128.21, 126.18, 125.53, 128.33, 128.74, 129.26, 128.29, 129.22, 127.59, 125.31, 124.91, 142.25, 141.3]",132.27,129.62,132.12,132.06,0,1,1,1,2/2/2018,2/5/2018,1/1/2001,0.45,"{PP"": 142.05 ""R1"": 144.3 ""R2"": 147.31 ""R3"": 149.56 ""S3"": 133.78 ""S2"": 136.79 ""S1"": 139.04}""",1/1/2001,66.06,0,172.96,1,2/2/2018,0,1,1,2/2/2018,2/5/2018,44.12,40.7,15614,4,132.06,431858,136.15,1266133,131.3,559995,130.52,675410,142.25,124.91,1831800,198100,142.25,124.91,1831800,738100,142.25,124.91,1831800,247800,142.25,124.91,1831800,235700,142.25,1831800,0000-00-00,1,1,7,10.7454,4.38059
1944930,SWKS,1,0,103.5,104.39,101.35,101.35,0,3704600,0,2/7/2018,2,0,nasdaq,,100.54,99.3,99.27,99.81,0,1,1,1,2/6/2018,2/6/2018,1/1/2001,0.14,"{PP"": 102.36 ""R1"": 103.38 ""R2"": 105.4 ""R3"": 106.42 ""S3"": 97.3 ""S2"": 99.32 ""S1"": 100.34}""",1/1/2001,52.77,0,114.71,1,2/6/2018,0,1,1,2/6/2018,2/7/2018,42.85,42.21,18173,4,99.81,2638052,100.2,5928333,99.73,3186220,99.07,4240630,110.25,94.09,8628600,1537300,104.56,94.68,8628600,3704600,104.56,94.68,8628600,2896000,104.56,94.68,8628600,1595000,104.56,8628600,0000-00-00,1,1,8,-1.74503,0.0987654
1945094,TRIP,2,0,40.51,41.34,40,41.05,0,4229300,0,2/7/2018,2,0,nasdaq,,37.3,36.4,35.72,35.16,0,1,1,1,2/6/2018,2/6/2018,1/1/2001,0.84,"{PP"": 40.8 ""R1"": 41.59 ""R2"": 42.14 ""R3"": 42.93 ""S3"": 38.91 ""S2"": 39.46 ""S1"": 40.25}""",1/1/2001,74.56,0,356.75,1,2/5/2018,0,1,1,2/6/2018,1/1/2001,44.46,42.45,18266,4,35.16,3247288,39.17,6871300,36.03,3410375,36.5,3603710,41.05,32.81,12363100,8414100,41.05,35.62,11626400,4229300,41.05,34.35,11626400,1493800,41.05,34.35,11626400,1478200,40.84,11626400,0000-00-00,1,3,9,18.5731,18.4021
1961745,ROKU,1,0,45,45.35,40.1,42.46,0,3590600,0,2/9/2018,4,0,nasdaq,,42.78,42.1,43.99,45.84,0,1,2,1,2/8/2018,1/1/2001,1/1/2001,-0.83,"{PP"": 42.64 ""R1"": 45.17 ""R2"": 47.89 ""R3"": 50.42 ""S3"": 34.67 ""S2"": 37.39 ""S1"": 39.92}""",1/1/2001,47.71,0,-45.81,2,1/1/2001,0,1,2,2/7/2018,1/16/2018,43.21,41.99,18848,4,45.84,7075870,43.95,4557100,42.05,4009550,41.88,3137290,56.58,39.19,38951700,0,45.69,42.46,5320400,3590600,45.69,39.92,5320400,1795800,45.69,39.19,8382000,1795800,43.7,5320400,0000-00-00,1,2,6,5.70077,-5.03243
1962361,WWD,2,0,75.25,75.95,71.285,71.62,0,3038700,0,2/9/2018,4,0,nasdaq,,77.81,77.61,78.66,77.72,0,1,2,1,2/5/2018,2/9/2018,1/1/2001,-0.22,"{PP"": 72.95 ""R1"": 74.62 ""R2"": 77.62 ""R3"": 79.28 ""S3"": 65.29 ""S2"": 68.29 ""S1"": 69.95}""",1/1/2001,40.01,0,-176.28,2,2/9/2018,0,2,2,2/9/2018,2/9/2018,40.95,40.39,18537,4,77.72,685502,77.24,3587200,78.79,1222295,77.88,1878730,83.41,71.62,6412800,0,82.93,71.62,6412800,1310100,82.93,71.62,6412800,369800,83.41,71.62,6412800,252500,82.93,6412800,2/9/2018,4,2,10,-8.60133,-10.4638
1975684,FTSM,2,0,60.05,60.07,60.03,60.06,0,260000,0,2/12/2018,0,0,nasdaq,"[60.03, 60.03, 60.05, 60.06, 60.05, 60.08, 60.07, 60.01, 60.01, 60.02, 60.02, 60.03, 60.035, 60.02, 60.0, 60.04, 60.06, 60.05, 60.05, 60.06]",60.05,60.03,60.03,60.03,0,1,1,1,2/9/2018,2/7/2018,1/1/2001,0.01,"{PP"": 60.05 ""R1"": 60.08 ""R2"": 60.09 ""R3"": 60.12 ""S3"": 60.0 ""S2"": 60.01 ""S1"": 60.04}""",1/1/2001,56.75,0,98.84,1,2/6/2018,0,1,1,2/9/2018,2/9/2018,63.03,62.94,16556,4,60.03,383992,60.05,468900,60.04,463800,60.04,585040,60.08,59.96,1374100,120600,60.06,60.05,775800,260000,60.06,60,1374100,135800,60.08,60,1374100,135800,60.05,775800,0000-00-00,1,2,9,0.0333111,0.049975
